Index,URL,Type,Name,Description,Street Address,City,Region,Postal Code,Country,Telephone,Website,Google Maps URL,
0,https://www.discoverpuertorico.com/profile/caribe-hilton/2,Restaurant/bar,Caribe Hilton,"The ever-iconic Caribe Hilton is situated on a 17-acre tropical peninsula with a secluded beach, near the Old San Juan historic district and a variety of top attractions. When you arrive at Caribe Hilton, you will find more than just a place to stay -- it is a place to come alive. With 652 recently renovated rooms and suites to choose from, discover a vacation that is as comfortable as it is memorable. Relax in a private beach cabana, learn to scuba dive or take a dip in our multi-tier oceanfront pool complex.",1 San Geronimo Street,San Juan,Metro,901,USA,787-721-0303,http://www.caribehilton.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJNWroByNvA4wRUBsD3LD2-ro&query=18.4631831000,-66.0856103000",
1,https://www.discoverpuertorico.com/profile/copamarina-beach-resort-spa/6,Restaurant/bar,Copamarina Beach Resort & Spa,"Set on a half-mile of private beach, amidst 20 acres of tropical gardens, Copamarina Beach Resort & Spa is the epitome of an elegant tropical hideaway.",Route 333 Km 6.5,Guánica,West,653,USA,(787) 821-0505,http://www.copamarina.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJjZ-uUtpOA4wRC3eAHm0miT4&query=17.9533110000,-66.8796482000",
2,https://www.discoverpuertorico.com/profile/barrachina-restaurant/233,Restaurant/bar,Barrachina Restaurant,"Located in Old San Juan, just one block from La Fortaleza, the restaurant has been catering to tourist and locals for over 40 years in the old city. The surrounding beauty of a colonial building over two centuries old with an interior courtyard and magnificent tropical foliage is the birthplace and home of the world-famous piña colada, where don Ramon Portas Mingot, first made the famous drink in 1963.",104 Fortaleza St.,San Juan,Metro,901,USA,(787) 725-7912,http://www.barrachina.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJt2zuY8duA4wR56__Tgqqm0M&query=18.4645020000,-66.1171904000",
3,https://www.discoverpuertorico.com/profile/carabali-rainforest-adventure-park/500,Restaurant/bar,Carabalí Rainforest Adventure Park,"Welcome to The Ultimate Caribbean Adventure. Located between the lush foothills of El Yunque National Rainforest and the crystal waters of the Atlantic Ocean, Carabalí Rainforest Adventure Park is an action-packed ranch and a favorite adventure destination in Puerto Rico. In addition to their legendary adventures, Carabalí Bar & Grill serves steaks, seafood and the best of Puerto Rican cuisine. There is a Gift Shop for purchasing accessories, souvenirs, clothes and more.",Rd. #3 Km. 32.4 Exit 992,Luquillo,East,773,USA,(787) 889-5820,http://www.carabalirainforestpark.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJD1cjdNOeBIwRHFx_p_XREyI&query=18.2453145000,-65.9571458000",
4,https://www.discoverpuertorico.com/profile/marmalade-restaurant-wine-bar/1205,Restaurant/bar,Marmalade Restaurant & Wine Bar,"The best dining experiences I have ever had and it is a stylish looking place with Fusion, Eclectic, Contemporary-French and vegetarian-vegan cuisine. It has a great bar and bartenders with crafting drinks before or after the meal. Absolutely incredible food. Expert assistance from the waitstaff. Hours 5 p.m. - 10 p.m.",317 Fortaleza St.,San Juan,Metro,901,USA,(787) 724-3969,http://www.marmaladepr.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJYXyNtcZuA4wRNttsW6Mi8gQ&query=18.4656766000,-66.1133748000",
5,https://www.discoverpuertorico.com/profile/emigrante-gastrobar/1597,Restaurant/bar,Emigrante Gastrobar,"Designed as a culinary adventure, our cuisine explores innovative ways of interacting with conventional ingredients merging modern and traditional techniques, while delivering ingenious presentations. A memorable experience.",Tryp by Wyndham,Carolina,Metro,979,USA,(787) 919-7575,http://saltgastrobar.com,"https://www.google.com/maps/search/?api=1&query=18.4434466000,-66.0268949000",
6,https://www.discoverpuertorico.com/profile/cocina-abierta/1602,Restaurant/bar,Cocina Abierta,Some of the most delicious creative culinary servings are made in this marvelous restaurant. They offer exquisite dishes and great drinks.,58 Cll. Caribe,San Juan,Metro,907,USA,(787) 946-1333,http://www.cocinaabierta.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJOckQDzhvA4wRQBXguqV-nDo&query=18.4550351000,-66.0705623000",
7,https://www.discoverpuertorico.com/profile/fogo-de-chao-churrascaria/1612,Restaurant/bar,Fogo de Chao Churrascaria,"We are an authentic Brazilian steakhouse. Fogo de Chao features a variety of roasted meats, available immediately upon your request. We also have a gourmet market table with fresh vegetables and mixed salads and traditional side dishes such as potatoes, polenta, bananas and more.",Paseo Caribe,San Juan,Metro,901,USA,(787) 727-5100,http://fogo.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJt_vZdiRvA4wRvPDNhH3PVhQ&query=18.4616812000,-66.0866060000",
8,https://www.discoverpuertorico.com/profile/santaella/1613,Restaurant/bar,Santaella,"Jose Santaella is a prominent Puerto Rican chef, cookbook author, restaurant owner and caterer with more than 20 years of experience and a vast knowledge on both Puerto Rico’s gastronomy and international cuisine. From Puerto Rico, Miami, Barcelona, New York and San Francisco, Santaella has worked with globally acclaimed chefs, such as Ferran Adria (El Bulli), Eric Ripert (Le Bernadin) and Gary Danko. In July of 2011 he opened his first restaurant, Santaella, to much acclaim in the buzzing market/nightlife district of Placita.",219 Cll. Canals,San Juan,Metro,907,USA,(787) 725-1611,http://josesantaella.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJXU0w50lvA4wRK09bRkrSAqI&query=18.4500806000,-66.0698849000",
9,https://www.discoverpuertorico.com/profile/princesa-cocina-ycultura/1641,Restaurant/bar,Princesa Cocina y Cultura,We invite you to come and visit the first Gastrobar of Old San Juan specialized in rums of Puerto Rico. We offer to taste the Puerto Rican cuisine of 19th Century with Caribbean and International Fusions. If you want to enjoy and know the history of our rums and refreshing cocktails we are the best destination in the city. We are the only restaurant in Old San Juan where you'll be surrounded by trees and vegetation that make you feel the magic of the story behind the place.,Paseo la Princesa,San Juan,Metro,901,USA,(787) 723-7878,http://princesapr.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJZX1SdsduA4wRLLxibo1u_WQ&query=18.4646299000,-66.1122543000",
10,https://www.discoverpuertorico.com/profile/mario-pagan-restaurant/1643,Restaurant/bar,Mario Pagán Restaurant,"The menu is a creation of Chef Mario Pagán, which fuses international dishes with local products. They also have a private room for private functions.","1110, Ave. Magdalena",San Juan,Metro,907,USA,(787) 522-6444,http://mariopaganrest.com,"https://www.google.com/maps/search/?api=1&query=18.4559882000,-66.0741977000",
11,https://www.discoverpuertorico.com/profile/sociedad-condal/1650,Restaurant/bar,Sociedad Condal,"Specializing in Tapas and Montaditos, Condal is the ultimate in gourmet small plates. This little piece of Barcelona serves the highest quality cured hams and marinated fish on the island and a handful of lavish main courses like the made to order Paella Marinera for two. This two story restaurant offers table dining at the ""tapas bar"" or open air seating on the rooftop lounge. Exceptional professional service guides you through this open ended experience equally suited for one course or nine of them.",1106 Ave. Magdalena,San Juan,Metro,907,USA,(787) 724-3725,http://condaltapasrestaurant.com,"https://www.google.com/maps/search/?api=1&query=18.4562357000,-66.0743915000",
12,https://www.discoverpuertorico.com/profile/la-casita-de-rones-de-pr/1664,Restaurant/bar,La Casita de Rones de PR,"A charming venue housing two bars, a restaurant and shop, located in Plaza Dársenas in Old San Juan. A true gateway to world class rum cocktails and island-flavored gourmet dining, inspired by the storied Puerto Rican rum distilleries","Plaza Dársenas, Calle Comercio",San Juan,Metro,919,USA,(787) 966-7042,http://lacasitarums.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJWaXe_sZuA4wRfzH3qryghug&query=18.4633094000,-66.1146601000",
13,https://www.discoverpuertorico.com/profile/yop-banquets/1682,Restaurant/bar,YOP Banquets,"Our dedicated team of professionals has more than 15 years of combined experience in the catering and events business. We work with great passion and an absolute focus on providing our customers the best service experience they can get, whether it’s a party for five or a gathering of thousands.",Calle César González 512,San Juan,Metro,918,USA,(787) 530-7992,http://www.yopbanquets.com,"https://www.google.com/maps/search/?api=1&query=18.4145545000,-66.0658755000",
14,https://www.discoverpuertorico.com/profile/parador-guanica-1929/2023,Restaurant/bar,Parador Guánica 1929,"History has never been so relaxing at the historic Parador Guánica 1929, a family-friendly inn offering comfortable accommodations and affordable “All-Inclusive” packages in the heart of Guánica Bay in southwestern Puerto Rico. Our 90-year-old Parador was witness to the turn of the century sugar cane industry on the island and you will discover first hand the true beauty of its relaxing vistas and charm.",Ave Los Veteranos km 2.5,Guánica,West,647,USA,(787) 821-0099,http://www.guanica1929.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJm7Ut1CE3HYwRu7mszs-6kD8&query=17.9718268000,-66.9275120000",
15,https://www.discoverpuertorico.com/profile/kai-organic-bar/2416,Restaurant/bar,Kai Organic Bar,Kai Organic Bar is revolutionizing juice bars with its local and organic focus. Enjoy wonderful combinations of salads or delicious açaí bowls.,Cll. Loíza,San Juan,Metro,913,USA,(787) 562-3865,,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJFXiocPplA4wRSl72AjEOLZE&query=18.4497360000,-66.0435352000",
