Index,URL,Type,Name,Description,Street Address,City,Region,Postal Code,Country,Telephone,Website,Google Maps URL
0,https://www.discoverpuertorico.com/profile/caribe-hilton/2,Hotel,Caribe Hilton,"The ever-iconic Caribe Hilton is situated on a 17-acre tropical peninsula with a secluded beach, near the Old San Juan historic district and a variety of top attractions. When you arrive at Caribe Hilton, you will find more than just a place to stay -- it is a place to come alive. With 652 recently renovated rooms and suites to choose from, discover a vacation that is as comfortable as it is memorable. Relax in a private beach cabana, learn to scuba dive or take a dip in our multi-tier oceanfront pool complex.",1 San Geronimo Street,San Juan,Metro,901,USA,787-721-0303,http://www.caribehilton.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJNWroByNvA4wRUBsD3LD2-ro&query=18.4631831000,-66.0856103000"
1,https://www.discoverpuertorico.com/profile/doubletree-hilton-san-juan/5,Hotel,Doubletree by Hilton - San Juan,"DoubleTree by Hilton Hotel San Juan is located in the popular Condado area of Puerto Rico's capital city. This modern, full-service hotel offers a wonderful balance of relaxed comfort and warm hospitality conveyed by a signature warm DoubleTree chocolate chip cookie on arrival. Stay within walking distance of sandy Puerto Rico beaches and casinos. Our beautifully decorated San Juan, Puerto Rico hotel's location is ideal, just three miles from the historic district of Old San Juan and only five miles from San Juan's Luis Muñoz Martin International Airport (SJU).",105 Ave. De Diego,San Juan,Metro,911,USA,(787) 721-1200,http://www.sanjuandoubletree.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJWezhytxuA4wRmNi83qdU-Vk&query=18.4510806000,-66.0644293000"
2,https://www.discoverpuertorico.com/profile/copamarina-beach-resort-spa/6,Hotel,Copamarina Beach Resort & Spa,"Set on a half-mile of private beach, amidst 20 acres of tropical gardens, Copamarina Beach Resort & Spa is the epitome of an elegant tropical hideaway.",Route 333 Km 6.5,Guánica,West,653,USA,(787) 821-0505,http://www.copamarina.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJjZ-uUtpOA4wRC3eAHm0miT4&query=17.9533110000,-66.8796482000"
3,https://www.discoverpuertorico.com/profile/courtyard-marriott-isla-verde-beach-resort/8,Hotel,Courtyard by Marriott Isla Verde Beach Resort,"Splash, relax and have fun by staying at the Courtyard by Marriott Isla Verde Beach Resort, a beachfront hotel in Isla Verde, Puerto Rico. Courtyard offers the ideal destination for escape and adventure, near many beaches and Old San Juan. It's the perfect accommodation whether you need to work or rest. A great place for family vacations, couples getaways, friends’ reunion, wedding destinations, business trips and much more.",7012 Boca de Cangrejos Avenue,Carolina,Metro,979,USA,(787) 791-0404,https://www.sjcourtyard.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJq0MxYNBlA4wRDu4nlvRZ9wI&query=18.4432330000,-66.0087750000"
4,https://www.discoverpuertorico.com/profile/embassy-suites-hilton-san-juan-hotel-casino/11,Hotel,Embassy Suites by Hilton San Juan - Hotel & Casino,"Enjoy your stay at Embassy Suites by Hilton San Juan Hotel & Casino in beautiful San Juan, Puerto Rico. This all-suite hotel is located in Carolina and it is only minutes from San Juan's international airport. The hotel is just two blocks from Isla Verde Beach and features a tropical free-form outdoor pool and waterfall surrounded by lush foliage. Our spacious two-room suites have a private bedroom and separate living room with a dining/work area. The living room features a refrigerator, microwave, wet bar, a sofa bed, and a TV in every room.",8000 Tartak St.,Carolina,Metro,979,USA,(787) 791-0505,http://embassysuites3.hilton.com/en/hotels/puerto-rico/embassy-suites-by-hilton-san-juan-hotel-and-casino-SJUESES/index.html,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJXQt7099lA4wRsDdD6EUYIzQ&query=18.4394497000,-66.0221968000"
5,https://www.discoverpuertorico.com/profile/embassy-suites-hilton-dorado-del-mar-beach-resort/14,Hotel,Embassy Suites by Hilton Dorado del Mar Beach Resort,"Discover the rich history, culture, arts and natural wonders of Puerto Rico while at our Dorado Del Mar beach resort. Our resort is located 21 miles minutes from Luis Muñoz Marin International Airport (SJU), just outside the bustling city of San Juan. Steps from the beach, relaxation, fun and local adventures are all within reach.",201 Blvd. Dorado Del Mar,Dorado,North,646,USA,(787) 796-6125,https://embassysuites3.hilton.com/en/hotels/puerto-rico/embassy-suites-by-hilton-dorado-del-mar-beach-resort-DORPRES/index.html,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJD1igL2MTA4wRvLul9Kz-G4Y&query=18.4773310000,-66.2735813000"
6,https://www.discoverpuertorico.com/profile/melia-century-hotel/18,Hotel,Meliá Century Hotel,"Discover a sophisticated world of culture, fashion, and lifestyle! The City of Ponce is a Caribbean oasis of art and architecture, a museum under the stars that becomes an iconic urban model of international caliber by celebrating historical preservation with a unique Boutique Hotel as its epicenter: MELIÁ Hotel Meliá begins a new era after 122 years of continuous operations, making this legendary monument of sophistication, the oldest Hotel in Puerto Rico, since 1895.",75 Cristina St.,Ponce,South,733,USA,(787) 842-0260,https://meliacenturyhotel.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJFSWe5ojVHIwRN71Qth8OQtc&query=18.0118500000,-66.6135498000"
7,https://www.discoverpuertorico.com/profile/courtyard-marriott-san-juan-miramar/22,Hotel,Courtyard by Marriott San Juan Miramar,"Conveniently located in the heart of San Juan-Miramar District across the Condado Lagoon, with immediate access to main highways, the Luis Muñoz Marín International Airport, Hato Rey business district and Old San Juan. Excellent facilities will allow our guests to be comfortable and productive. Our Hotel offers a variety of packages for all travelers: business, leisure or just a pre-cruise stay. We strive for understanding our guests business needs providing them with the essential amenities that will ensure their satisfaction.",801 Ave. Juan Ponce de León,San Juan,Metro,907,USA,(787) 721-7400,http://www.courtyardsj.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJo8awGzBvA4wR6V76Kbr1fc4&query=18.4633746000,-66.0908432000"
8,https://www.discoverpuertorico.com/profile/hotel-el-convento/24,Hotel,Hotel El Convento,"Located in the heart of Old San Juan, old world charm and elegance meet contemporary comfort in this Small Luxury Hotel of the World. Within walking distance of world-class museums, historic landmarks, and vibrant nightlife. Access to El Convento Beach Club, featuring beach and pool privileges at our sister properties, located on the best beaches in Puerto Rico. The Hotel also has complimentary high-speed Internet access, in all guest rooms and public areas and a daily complimentary wine & cheese, serving a variety of wine and hors d'oeuvres at La Veranda Terrace.",100 Calle del Cristo,San Juan,Metro,901,USA,(787) 723-9020,https://www.elconvento.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJofSvr7huA4wRdtB2Wx1-g98&query=18.4660531000,-66.1185340000"
9,https://www.discoverpuertorico.com/profile/hampton-inn-suites-san-juan-resort/26,Hotel,Hampton Inn & Suites San Juan Resort,"Nestled in the Isla Verde area of San Juan, Puerto Rico, the Hampton Inn & Suites San Juan hotel is five minutes from Luis Muñoz Marin International Airport (SJU) and steps from Isla Verde beach. The hotel is located in the vibrant Isla Verde district, near Old San Juan and numerous historic sites, restaurants, nightlife, museums and shopping.",6530 Ave. Isla Verde,San Juan,Metro,979,USA,(787) 791-8777,http://sanjuansuites.hamptoninn.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJiwCT_dtlA4wRfOqCIcQSHGQ&query=18.4416267000,-66.0162408000"
10,https://www.discoverpuertorico.com/profile/wyndham-grand-rio-mar-rainforest-beach-golf-resort/30,Hotel,"Wyndham Grand Rio Mar Rainforest, Beach & Golf Resort","Golden sands, turquoise waters and tropical breezes abound this oceanfront resort, fresh from a multi-million dollar renovation introducing new exciting experiences, plus three sparkling beachfront pools, incredible dining with nine restaurants and lounges, lively casino, relaxing Mandara Spa, two world-class golf courses and more awaits. This resort is the idyllic retreat for any occasion, whether you yearn for a Caribbean golf getaway, crave an oceanfront escape, or you and the one you love need a little time under the sun and stars, there's no place like Puerto Rico.",6000 Rio Mar Blvd,Río Grande,East,745,USA,(787) 888-6000,http://www.wyndhamriomar.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJT4XxK0yZBIwRRfl1CbK81pY&query=18.3890790000,-65.7566780000"
11,https://www.discoverpuertorico.com/profile/condado-plaza-hotel/34,Hotel,The Condado Plaza Hotel,"This stunning oceanfront hotel in the heart of the Condado District is currently undergoing an extensive renovation. During this renovation phase, thank you for your patronage and loyalty as we enhance our hotel for your future enjoyment.",999 Ashford Avenue,San Juan,Metro,907,USA,(787) 977-4769,http://www.condadoplaza.hilton.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJz62gXDtvA4wR8SmUMIfXIOc&query=18.4608935000,-66.0810648000"
12,https://www.discoverpuertorico.com/profile/tryp-wyndham-isla-verde/36,Hotel,TRYP by Wyndham Isla Verde,"A unique, stylish lifestyle brand, TRYP by Wyndham offers contemporary, boutique accommodations in the world's most vibrant cities. Just footsteps from the beach, TRYP by Wyndham Isla Verde's location positions guests amid sensational dining, shopping, sightseeing hot spots and premier entertainment. It also features a diverse collection of expansive specialty, ocean-view rooms, equipped with free Wi-Fi, large flat-screen HD TVs and a wealth of modern conveniences.",4820 Isla Verde Ave.,Carolina,Metro,979,USA,(787) 728-1300,http://www.trypislaverde.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJBR7HjNtlA4wRMIG1shYj1Ho&query=18.4434466000,-66.0268949000"
13,https://www.discoverpuertorico.com/profile/rincon-beach-resort/41,Hotel,Rincon Beach Resort,"Discover one of the most intimate and serene oceanfront resorts in Puerto Rico—Rincón Beach Resort. Nestled on the Bay of Añasco in Puerto Rico’s west coast, Rincon Beach Resort is the perfect escapade for relaxing days under the sun or enjoying an unforgettable dining experience. The west coast of Puerto Rico, known as Porta del Sol, is home to some of the world’s best beaches and surfing areas. The town of Rincón, known for its beautiful sunsets, was highlighted in The Beach Boy’s unofficial surfer’s anthem “Surfing Safari.”",PR-115,Añasco,West,610,USA,(787) 589-9000,http://www.rinconbeach.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJty4NHJClAowR-7vyu5LrmDg&query=18.2970150000,-67.2187950000"
14,https://www.discoverpuertorico.com/profile/royal-sonesta-san-juan/46,Hotel,Royal Sonesta San Juan,"Welcome to the Royal Sonesta San Juan! It is our pleasure to receive you here in sunny and gorgeous Puerto Rico. The Royal Sonesta San Juan is superbly set before two miles of white sandy Isla Verde Beach yet convenient to the historic Old San Juan, the Luis Muñoz Marín International Airport, and the financial district. With 398 newly renovated guestrooms including 22 suites, the Royal Sonesta San Juan captures the exotic and pairs it with the resorts signature sophistication, making it easy to mix business with pleasure.",5961 Isla Verde ave,Carolina,Metro,979,USA,(787) 791-6100,https://www.sonesta.com/us/puerto-rico/carolina/royal-sonesta-san-juan-puerto-rico-resort,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJcxl7191lA4wRiDPqQKCohWk&query=18.4430873000,-66.0196841000"
15,https://www.discoverpuertorico.com/profile/el-conquistador-resort-puerto-rico/48,Hotel,El Conquistador Resort - Puerto Rico,"Perched on a 300-foot cliff overlooking the Atlantic Ocean and Caribbean Sea, El Conquistador Resort, is a peaceful oasis on the Island of Enchantment currently offering 368 rooms and suites, growing back to its 750 room footprint by 2025. Our luxurious Puerto Rico resort is divided into five villages, providing a soothing getaway from the stress of the world. Enjoy spectacular, panoramic ocean views at The Grand Hotel in the villages of Las Brisas.",1000 El Conquistador Avenue,Fajardo,East,738,USA,(787) 863-1000,https://www.ConquistadorResort.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJ9xJQsBmXBIwRDK1TVXeQdNw&query=18.3584921000,-65.6283079000"
16,https://www.discoverpuertorico.com/profile/fairmont-el-san-juan-hotel/50,Hotel,Fairmont El San Juan Hotel,"Following a $65 million redesign, Fairmont El San Juan Hotel blends modern tropical splendor with old-world elegance. With a long rich history, the hotel continues to be one of the Caribbean’s most desired retreats. Situated on two miles of pristine oceanfront, along Isla Verde Beach, Fairmont El San Juan Hotel is an oasis of 388 guestrooms, suites, Banyan, Pool and Ocean Villa rooms, coupled with over 30,000 square feet of event space, complete with sophisticated detailing.",6063 Isla Verde Avenue,Carolina,Metro,979,USA,(787) 791 1000,https://www.elsanjuanhotel.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJX1t5_NtlA4wRuLwgT7A_evo&query=18.4435000000,-66.0185000000"
17,https://www.discoverpuertorico.com/profile/hotel-rumbao-tribute-portfolio-hotel/54,Hotel,"Hotel Rumbao, a Tribute Portfolio Hotel","Because location does matter! Only branded hotel in Historic Old San Juan District. Located within walking distance of historic Old San Juan and its vibrant nightlife, this modern hotel is designed in the charming Spanish colonial style. Conveniently situated across from the cruise ship terminals, Hotel Rumbao offers 245 deluxe rooms and suites, along with a fine dining restaurant overlooking the bay. The hotel features 9,851 sq. ft. of versatile meeting space, including two ballrooms, board, and breakout meeting rooms.",100 Brumbaugh Street,San Juan,Metro,901,USA,(787) 721-5100,https://www.hotelrumbaosanjuan.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJA1YLecRuA4wRfBXRUoKHvsU&query=18.4639760000,-66.1125201000"
18,https://www.discoverpuertorico.com/profile/hyatt-regency-grand-reserve-puerto-rico/55,Hotel,Hyatt Regency Grand Reserve Puerto Rico,"Embark on an unforgettable beachside retreat at our upscale resort hotel where we believe that ""Doing Nothing Means Everything "" during your getaway. Nestled within the El Yunque rainforest, our family-friendly resort allows you to craft your ideal escape. Take leisure to new heights as you lounge by our expansive lagoon-style pool or tee off on our Tom Kite-designed 18-hole championship golf course. When it is time for reconnection, our Rainforest Spa awaits.",200 Coco Beach Blvd.,Río Grande,East,745,USA,787-657-1234,https://www.hyatt.com/en-US/hotel/puerto-rico/hyatt-regency-coco-beach-resort/sjurc,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJB2vMKiicBIwR6OIVg4rvOwI&query=18.4175983000,-65.7934929000"
19,https://www.discoverpuertorico.com/profile/hilton-ponce-golf-casino-resort/59,Hotel,Hilton Ponce Golf & Casino Resort,"Located only 5 minutes from downtown Ponce, known as ""The Pearl of the South"", and 10 minutes from La Mercedita Airport, this 80-acre oceanfront resort has everything you need for an unforgettable stay – elegant rooms and suites, first-class dining and facilities for business, relaxation, and recreation. Luis Muñoz Marín International Airport is also only 90 minutes from the resort.",1150 Ave Caribe,Ponce,South,716,USA,(787) 259-7676,https://www3.hilton.com/en/hotels/puerto-rico/hilton-ponce-golf-and-casino-resort-PNCHIHH/index.html,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJswW1_g7WHIwRyuhT0ZLiybI&query=17.9713371000,-66.6023985000"
20,https://www.discoverpuertorico.com/profile/san-juan-marriott-resort-stellaris-casino/61,Hotel,San Juan Marriott Resort & Stellaris Casino,"The San Juan Marriott Resort & Stellaris Casino is a AAA Four-Diamond oceanfront hotel that focuses on customer service and cultural experience. Located in the heart of Condado, guests don’t have to leave the premises to appreciate the beauty of the beach, situated just a few feet away. Visitors have a variety of over 20 restaurants and stores within walking distance to do some fine dining and shopping.",1309 Ashford Ave.,San Juan,Metro,907,USA,(787) 722-7000,https://www.marriott.com/hotels/travel/sjupr-san-juan-marriott-resort-and-stellaris-casino/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJsyyTEThvA4wRQ-WmN1ZtAEk&query=18.4564341000,-66.0701624000"
21,https://www.discoverpuertorico.com/profile/ritz-carlton-san-juan-hotel/65,Hotel,The Ritz-Carlton San Juan Hotel,"Let one of the most elegant San Juan luxury resorts, The Ritz-Carlton, San Juan awaken your senses as you fall under the spell of its enchanting rhythms and flavors. Our casual yet elegant luxury hotel envelops guests in a timeless Caribbean setting – perched on a two-mile stretch of a golden sandy beach. Puerto Rican fritters, mamposteao rice and mofongo introduce adventurous palates to the local cuisine. Rum flights find their way on to afternoon agendas. And the percussion-driven beats of bomba and plena enliven the atmosphere with Puerto Rico’s beloved musical heritage.",Carr. Boca De Cangrejos,Carolina,Metro,979,USA,(787) 253-1700,http://www.ritzcarlton.com/en/hotels/puerto-rico/san-juan,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJ5x80In1iNFERMwZu0cbEKOM&query=18.4459400000,-66.0014040000"
22,https://www.discoverpuertorico.com/profile/villa-montana-beach-resort/68,Hotel,Villa Montaña Beach Resort,"Villa Montaña Beach Resort, a full-service resort offers optimum personal attention to their guests, to the hotel and to the environment. The villas have been ideally situated on this twenty-six-acre property to ensure privacy and serenity. The abundance of green areas, overflowing with blossoming tropical plants, accentuates the sense of harmony with nature that permeates throughout Villa Montaña Beach Resort. The goal is to provide guests, visitors, and resort residents with an elegant, tranquil and luxurious atmosphere while maintaining a friendly and informal setting.",Rd. 4466 Km. 1.9  Int.,Isabela,West,662,USA,(787) 609-3047,http://www.villamontana.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJsTBwH3OWAowRFkSov-CVLpM&query=18.5120613000,-67.0909960000"
23,https://www.discoverpuertorico.com/profile/holiday-inn-express-san-juan/84,Hotel,Holiday Inn Express San Juan,"Spacious, newly renovated rooms in exclusive Condado. Complimentary continental breakfast, swimming pool, 24 hour store, mini gym and business center. Five minutes from historic Old San Juan’s museums, El Morro fortress, ship docks, restaurants and shopping outlets. For business or pleasure travel, our friendly staff will make your stay a pleasant one.",Calle Mariano Ramirez Bages,San Juan,Metro,907,USA,(787) 724-4160,http://www.hiexpress.com/sanjuanpr,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJPbucgjlvA4wRK410NisqYg8&query=18.4571810000,-66.0756033000"
24,https://www.discoverpuertorico.com/profile/el-canario-lagoon-hotel/88,Hotel,El Canario Lagoon Hotel,"This is a small European-style hotel with 40 a/c rooms, private bath and balcony. They also have cable TV, continental breakfast, and international newspaper. It's only one block to beach, restaurants, hotel casinos, and much more.",4 Clemenceau St.,San Juan,Metro,907,USA,(787) 722-5058,https://canariolagoonhotel.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJVcSElDlvA4wRPMhapQWVE2I&query=18.4567413000,-66.0753595000"
25,https://www.discoverpuertorico.com/profile/fajardo-inn/96,Hotel,Fajardo Inn,"It is the ideal place for your vacation, wedding, seminar, retreat, or business meeting. We’ve got what you need: diverse lodging options with single rooms, family rooms and even apartments with full kitchens. All of these lodging options are available at an affordable rate. The surroundings make them even better: our attentive service and magnificent setting include lush tropical plants, an extensive vegetable and fruit garden and more.",#52 Parcelas Beltrán,Fajardo,East,740,USA,(787) 860-6000,http://www.fajardoinn.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJ4UHSpo2XBIwRE72rnG7NOgQ&query=18.3371021000,-65.6359469000"
26,https://www.discoverpuertorico.com/profile/wave-hotel/109,Hotel,The Wave Hotel,"Just a short walk from the white sandy beaches of Condado you will find The Wave Hotel. A modern urban hotel conveniently located that offers locals and tourists a whole new option of urban relaxation while the alternatives to enjoy the full-on experience of Puerto Rico. Get a view of it’s rooftop with breathtaking views of the Condado Lagoon and the vibrant Condado City offers a breath of fresh air while enjoying cocktails from their incredible bartender at Sunset Rooftop, sunbathing or just relaxing in their whirlpools with powerful jets for even deeper relaxation.",76 Condado Ave.,San Juan,Metro,907,USA,(787) 721-9010,http://www.thewavehotel.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJtYhTcTdvA4wR80smtzAnhEI&query=18.4538747000,-66.0734861000"
27,https://www.discoverpuertorico.com/profile/hotel-miramar/114,Hotel,Hotel Miramar,"Intimate small 48 room hotel located in Miramar, San Juan's residential section. Located a short walk from the main business district, shops, theaters, and beaches. Completely refurbished rooms with A/C, kitchenettes, cable TV, telephone and In-room safe. Our front desk will be happy to help you with directions, recommendations, general information, or calling a taxi. We can also help arrange guided tours, excursions, car rental and special services. Our front desk is staffed 24 hours every day so we're always ready to help!",606 Ave. Ponce de León,San Juan,Metro,907,USA,(787) 977-1000,http://www.hotelmiramarpr.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJNaqWfyVvA4wRxfFmwmhgotc&query=18.4565368000,-66.0852822000"
28,https://www.discoverpuertorico.com/profile/costa-bahia-hotel-convention-center/132,Hotel,Costa Bahía Hotel & Convention Center,"At Costa Bahía Hotel and Conference Center, we’re committed to providing a relaxing experience from the moment you arrive. Whether you’re visiting Guayanilla, Puerto Rico for business, leisure or a little of both, our convenient, contemporary and affordable hotel merges personalized service with resort-style amenities. If you should need anything during your visit, our welcoming staff is at your service.",Carr. 127 Km. 8.6,Guayanilla,South,656,USA,(787) 835-3335,https://www.costabahiahotel.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJb_xrAI4tHYwR_nbUVkyMT3o&query=18.0317950000,-66.7975290000"
29,https://www.discoverpuertorico.com/profile/esj-towers-hotel/424,Hotel,ESJ Towers Hotel,"Máre St. Clair Hotel, part of the St Clair Collection, is a beachfront resort is located on the beautiful Isla Verde Beach— just five minutes from the San Juan Luis Muñoz Marín International Airport and 15 minutes to Old San Juan. Shopping, dining, casinos, and must-see attractions are just minutes away.",6165 Isla Verde Ave.,Carolina,Metro,979,USA,(787) 791-5151,http://esjtowershotel.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChgIhbu8jvqE0JveARoLL2cvMXR6bm5jeTEQAQ&query=18.4443830000,-66.0171720000"
30,https://www.discoverpuertorico.com/profile/hacienda-siesta-alegre/502,Hotel,Hacienda Siesta Alegre,"Spanish colonial-style hacienda, open-air (chalet, private residence), with a breathtaking view overlooking Puerto Rico’s north coast from a hill high in the rain forest. Located about 35 minutes from San Juan, 15 minutes from the Rio Mar and 30 minutes from El Conquistador.",Carr. 186 Km. 24,Río Grande,East,745,USA,(787) 887-7500,http://www.haciendasiestaalegre.com,"https://www.google.com/maps/search/?api=1&query=18.3388401000,-65.8257190000"
31,https://www.discoverpuertorico.com/profile/holiday-inn-ponce-tropical-casino/957,Hotel,Holiday Inn Ponce & Tropical Casino,"Stay at the Holiday Inn® Ponce & Tropical Casino Hotel and discover the beautiful city also known as ‘The Pearl of the South’. Enjoy peaceful mountainous surroundings and gorgeous views to the Caribbean Sea while being minutes from downtown Ponce. Our location off Highway 2 grants business travelers easy access to Mercedita Airport and El Tuque y Reparada Industrial Park. Also convenient for leisure guests, we are near the main attractions of the city.",3315 Ponce Bypass,Ponce,South,728,USA,(787) 844-1200,https://www.ihg.com/holidayinn/hotels/us/en/ponce/sjupn/hoteldetail,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJeYpE7nkpHYwRzKTrobvjzko&query=17.9781610000,-66.6705090000"
32,https://www.discoverpuertorico.com/profile/verdanza-hotel/1025,Hotel,Verdanza Hotel,"Verdanza Hotel is an independent property located in the heart of Puerto Rico’s Isla Verde district, just a block from the best urban beach that boasts over a mile of gold sand, shopping, and nightlife.",8020 Cll. Jose M. Tartak,Carolina,Metro,979,USA,(787) 253-9000,http://www.verdanzahotel.com/default-en.html,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJwZhfLN5lA4wRr_RQfS_BfA4&query=18.4407710000,-66.0218400000"
33,https://www.discoverpuertorico.com/profile/caribe-hotel/1052,Hotel,Caribe Hotel,"From the moment you arrive, you will find yourself immersed in a beautiful Spanish architecture, surrounding a lush tropical courtyard. We are conveniently located just minutes from Ponce's business district as well as its tourist attractions. Hotel features include a pool, whirlpool, exercise room, restaurant and pool bar. Our guest room features include cable TV, hairdryer, iron, data port, coffee maker and complimentary supply of Puerto Rico's finest mountain grown coffee.",103 Turbo Mercedita Industrial Park,Ponce,South,715,USA,(787) 841-1000,https://www.caribehotel.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJnXjdIbzVHIwRd1uVxj0zCFQ&query=18.0977590000,-66.2269819000"
34,https://www.discoverpuertorico.com/profile/four-points-sheraton-caguas-real-hotel-casino/1061,Hotel,Four Points by Sheraton Caguas Real Hotel & Casino,"Four Points by Sheraton Caguas Real Hotel & Casino is just a short drive from downtown San Juan where you will find everything you are looking for whether it's breathtaking mountain views or our tropical outdoor pool. We offer easy access to all the best things to do in Caguas and many major corporations. We're the perfect Caguas hotel. At our Caguas hotel, we'll make your stay smooth and easy with our casual ambiance and comfort. Settle in after a long day of fun, business or both.",500 Alhambra En Granada Blvd.,Caguas,Metro,726,USA,(787) 653-1111,http://www.fourpointspr.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJeR9he0lFA4wRtR-Pe2GPeKg&query=18.1935030000,-66.0526639000"
35,https://www.discoverpuertorico.com/profile/holiday-inn-mayaguez-tropical-casino/1116,Hotel,Holiday Inn Mayagüez & Tropical Casino,"An elegant well-lit lobby welcomes you to the Holiday Inn® Mayagüez & El Tropical Casino Hotel conveniently located to explore the city and discover Porta del Sol region. Have fun in the sun at Boquerón Beach or Rincón Beach, and enjoy the different festivals the city has throughout the year such as the Mango Festival or Porta del Sol Culinary Festival.",2701 Hostos Ave.,Mayagüez,West,682,USA,(787) 833-1100,https://www.ihg.com/holidayinn/hotels/us/en/mayaguez/mazpr/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-PR-_-MAZPR,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJ05xpaoyxAowRCYHvGAGmN2c&query=18.1574709000,-67.1433716000"
