index,photo,Type,accommodations,Region,url,Name,Description,Street Address,City,Postal Code,Country,Telephone,Website,Google Maps URL,
1,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/30/wyndham-7_EF67C820-4491-4B6E-BFC6B44ECD8C4011_cdb5600b-e0bc-4937-b6b921775c9beb7f.png?itok=qupYLkC7,"Hotels, Accommodation On Site, Convention Centers, Banquet Venues, Reception Venues, Spas, Resorts, Ballrooms, Group Dining Venues, Golf, Meeting Rooms","Resorts, Hotels",East,https://www.discoverpuertorico.com/profile/wyndham-grand-rio-mar-rainforest-beach-golf-resort/30,"Wyndham Grand Rio Mar Rainforest, Beach & Golf Resort","Golden sands, turquoise waters and tropical breezes abound this oceanfront resort, fresh from a multi-million dollar renovation introducing new exciting experiences, plus three sparkling beachfront pools, incredible dining with nine restaurants and lounges, lively casino, relaxing Mandara Spa, two world-class golf courses and more awaits. This resort is the idyllic retreat for any occasion, whether you yearn for a Caribbean golf getaway, crave an oceanfront escape, or you and the one you love need a little time under the sun and stars, there's no place like Puerto Rico.",6000 Rio Mar Blvd,Río Grande,745,USA,(787) 888-6000,http://www.wyndhamriomar.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJT4XxK0yZBIwRRfl1CbK81pY&query=18.3890790000,-65.7566780000",
2,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/48/ECR-Aerial-View_0B991DD8-1362-438B-B5534CE4E6DD0740_4735207b-5a8e-4848-bc28fb6b426df9fb.png?itok=6fE-bIOc,"Ceremony Venues, Hotels, Accommodation On Site, Banquet Venues, Reception Venues, Resorts, Ballrooms, Golf, Group Dining Venues, Golf Venues, Conference Centers, Meeting Rooms","Resorts, Hotels",East,https://www.discoverpuertorico.com/profile/el-conquistador-resort-puerto-rico/48,El Conquistador Resort - Puerto Rico,"Perched on a 300-foot cliff overlooking the Atlantic Ocean and Caribbean Sea, El Conquistador Resort, is a peaceful oasis on the Island of Enchantment currently offering 368 rooms and suites, growing back to its 750 room footprint by 2025. Our luxurious Puerto Rico resort is divided into five villages, providing a soothing getaway from the stress of the world. Enjoy spectacular, panoramic ocean views at The Grand Hotel in the villages of Las Brisas.",1000 El Conquistador Avenue,Fajardo,738,USA,(787) 863-1000,https://www.ConquistadorResort.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJ9xJQsBmXBIwRDK1TVXeQdNw&query=18.3584921000,-65.6283079000",
3,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/59/hiltonponceresort_904B464B-5056-A36A-08492F02EDDABFA8-904b45a95056a36_904b48b0-5056-a36a-089c28f74a0ff86a.png?itok=hSHOcCyF,"Meeting Rooms, Ceremony Venues, Convention Centers, Hotels, Casinos, Accommodation On Site, Banquet Venues, Reception Venues, Ballrooms, Group Dining Venues, Resorts, Conference Centers","Resorts, Hotels",South,https://www.discoverpuertorico.com/profile/hilton-ponce-golf-casino-resort/59,Hilton Ponce Golf & Casino Resort,"Located only 5 minutes from downtown Ponce, known as ""The Pearl of the South"", and 10 minutes from La Mercedita Airport, this 80-acre oceanfront resort has everything you need for an unforgettable stay – elegant rooms and suites, first-class dining and facilities for business, relaxation, and recreation. Luis Muñoz Marín International Airport is also only 90 minutes from the resort.",1150 Ave Caribe,Ponce,716,USA,(787) 259-7676,https://www3.hilton.com/en/hotels/puerto-rico/hilton-ponce-golf-and-casino-resort-PNCHIHH/index.html,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJswW1_g7WHIwRyuhT0ZLiybI&query=17.9713371000,-66.6023985000",
4,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/61/SJUPR-Resort_FEA327BA-D6BF-4FDE-92E2A78C54404379_335635f3-da38-4125-95af835786eeeb7c.jpg?itok=B-FTiHK3,"Meeting Rooms, Ceremony Venues, Hotels, Casinos, Accommodation On Site, Banquet Venues, Reception Venues, Ballrooms, Group Dining Venues, Resorts","Resorts, Hotels",Metro,https://www.discoverpuertorico.com/profile/san-juan-marriott-resort-stellaris-casino/61,San Juan Marriott Resort & Stellaris Casino,"The San Juan Marriott Resort & Stellaris Casino is a AAA Four-Diamond oceanfront hotel that focuses on customer service and cultural experience. Located in the heart of Condado, guests don’t have to leave the premises to appreciate the beauty of the beach, situated just a few feet away. Visitors have a variety of over 20 restaurants and stores within walking distance to do some fine dining and shopping.",1309 Ashford Ave.,San Juan,907,USA,(787) 722-7000,https://www.marriott.com/hotels/travel/sjupr-san-juan-marriott-resort-and-stellaris-casino/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJsyyTEThvA4wRQ-WmN1ZtAEk&query=18.4564341000,-66.0701624000",
5,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/271/2_79CA3983-A1BA-467D-8621947881F21341_574717a1-b3e3-42ef-832c3534705cbe5d.jpg?itok=I7_RU2W_,"Event Coordinators & Meeting Planners, Destination Management Companies, Student & Youth Tours",,Metro,https://www.discoverpuertorico.com/profile/group-services-inc/271,"Group Services, Inc.","Truly comprehensive destination managers with offices in San Juan and Fajardo, and staff of 85 plus. All transportation needs, personalized meet-and-greet, rainforest and city historical tours, golf program, eco tours, dine-around, St. Thomas excursions, snorkeling and sailing, team building, spouse programs and more. Hands on, flexible, and we tailor our services to your special needs. Operations office at the LMM Airport.",Condominium San Alberto,San Juan,907,USA,(787) 724-5494,http://www.gsipuertorico.com,"https://www.google.com/maps/search/?api=1&query=18.4569296000,-66.0712538000",
6,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/326/Fashion-Fiesta-DPR-3_A1786479-5B5A-4FAE-94D643D6CAF995F4_91c63063-745b-4000-86d732260c5e7e16.jpg?itok=gpH6q_K7,"Gift Shops, Specialty Shops, Promo Items,  Awards & Gifts",,East,https://www.discoverpuertorico.com/profile/caribbean-trading-company-inc-rio-grande/326,"Caribbean Trading Company, Inc. - Río Grande",Corporate Gift buying made EASY… Caribbean Trading Company is a Puerto Rico based service organization that specializes in customized gift solutions for the corporate group incentive/meetings and conventions market. We've had the pleasure of working on thousands of programs over 25 years. None of them more important to us than yours! We provide Gifting events and hands down the best gifting experience you'll find.,4 Calle Principal,Río Grande,721,USA,(787) 888-2762,http://www.caribbeantrading.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJ1UsrLM6eBIwRAxRz6t7fLe8&query=18.3707056000,-65.7689402000",
7,/themes/custom/discoverpr_v2_theme/images/placeholder-4.jpg,"Tour & Ground Operators / Charters, Travel Agencies, Group-Friendly Activities & Tours, Golf",,North,https://www.discoverpuertorico.com/profile/caribe-golf/334,Caribe Golf,"Caribe Golf, Inc. is an advanced golf reservation company that specializes in setting up golf tee times for individuals and groups at any of the exceptional golf courses that Puerto Rico has to offer. We can secure your tee time(s) up to 60 days for individuals and months in advance for groups at NO COST. Make sure to ask about the 'Tee Time Tomorrow' discount offer.",PMB 305,Dorado,646,USA,(787) 368-4344,http://www.caribegolf.com,"https://www.google.com/maps/search/?api=1&query=18.4600236000,-66.2637098000",
8,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/500/LYMA8383-Family-Photo-Shoot-Mckenzies-ef370c7e5056a36_ef3710a5-5056-a36a-0839a37236b6c3bb.jpg?itok=cnv2nHzi,"4-Wheeler / ATVs, No Accommodation on Site, Horseback Riding, Guided Tours, Go-Karts, Adventure Tours, Group Dining Venues, Nature & Eco Tours, Restaurants",,East,https://www.discoverpuertorico.com/profile/carabali-rainforest-adventure-park/500,Carabalí Rainforest Adventure Park,"Welcome to The Ultimate Caribbean Adventure. Located between the lush foothills of El Yunque National Rainforest and the crystal waters of the Atlantic Ocean, Carabalí Rainforest Adventure Park is an action-packed ranch and a favorite adventure destination in Puerto Rico. In addition to their legendary adventures, Carabalí Bar & Grill serves steaks, seafood and the best of Puerto Rican cuisine. There is a Gift Shop for purchasing accessories, souvenirs, clothes and more.",Rd. #3 Km. 32.4 Exit 992,Luquillo,773,USA,(787) 889-5820,http://www.carabalirainforestpark.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJD1cjdNOeBIwRHFx_p_XREyI&query=18.2453145000,-65.9571458000",
9,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/582/East-Wind-Icacos-day-in-the-sun_5413733C-A646-4564-8C35EAFF05C9090B_817280b4-6fa9-4fae-92663d4cb0099a9b.jpg?itok=H0A3Siqr,"Boat Rentals & Charters, Boat Tours, Snorkeling, Group-Friendly Activities & Tours, Adventure Tours, Sailing, Nature & Eco Tours",,East,https://www.discoverpuertorico.com/profile/east-island-excursions/582,East Island Excursions,"East Island Excursions hosts snorkeling and boat trips on Puerto Rico's offshore islands and cays. They offer a variety of quality marine excursions with professional captains and caring crew for an unforgettable experience. Snorkel the crystal clear Caribbean waters, explore their deserted cays, beautiful white sand beaches and then kick back and enjoy a sumptuous lunch buffet on board. Bar includes sodas, water, juices and local beer for sale. Top it off with a cold piña colada or East Island Excursions' famous tropical rum punch. That's the East Island Experience!",Marina Puerto del Rey,Fajardo,738,USA,(787) 860-3434,http://www.eastislandpr.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJMxvD2GW9BIwRiZXmNWIMkTY&query=18.2859442000,-65.6365852000",
10,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/668/191-3-7534_jpeg0-6f59b16f5056a36_6f59b50f-5056-a36a-080fbc201c834d65.jpg?itok=KhLZ2XvW,"No Accommodation on Site, Convention Centers, Art Museums",,South,https://www.discoverpuertorico.com/profile/museo-de-arte-de-ponce/668,Museo de Arte de Ponce,"The Museo de Arte de Ponce’s internationally renowned collection is comprised of more than 4,500 works of art from many cultures, dating from the ninth century C.E. to the present. This dynamic, wide-ranging collection includes paintings, sculptures, prints, photographs, drawings, decorative arts, pre-Hispanic and African objects, Puerto Rican folk art, contemporary ceramics, video, and sound art.",2325 Blvd. Luis A. Ferre Aguayo,Ponce,717,USA,(787) 848-0505,http://www.museoarteponce.org,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJA34xsIrVHIwRSQTMsl6Bixk&query=18.0037006000,-66.6169078000",
11,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/676/Museo-del-Arte-in-San-Juan-c763bb0d5056a36_c763bf91-5056-a36a-0821d7f41216e81e.jpg?itok=aaeth3qq,"No Accommodation on Site, Ceremony Venues, Art Museums, Reception Venues",,Metro,https://www.discoverpuertorico.com/profile/museo-de-arte-de-puerto-rico/676,Museo de Arte de Puerto Rico,"Designed in accordance with the strictest and most modern standards of contemporary museum design, the Museo de Arte de Puerto Rico (MAPR) is composed of 130,000 square feet of modern spaces. The Museo de Arte de Puerto Rico (MAPR) has 24 exhibition galleries distributed between the historical building in the west wing and the addition in the east wing.",#299 De Diego Ave.,San Juan,907,USA,(787) 977-6277,http://www.mapr.org,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJGYZKTeNoA4wR6HGDU33r-LU&query=18.4482760000,-66.0662840000",
12,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/681/plaza-pic_39BCC1FA-15A9-4AAD-AD394F873C332EFB_f6b7760b-e72d-4829-84367d3905a79c10.jpg?itok=ObOxK1Kk,Malls,,Metro,https://www.discoverpuertorico.com/profile/plaza-las-americas/681,Plaza Las Américas,"Plaza Las Américas is the largest shopping center in the Caribbean, where you can go shopping, eat in any of its more than 50 restaurants or food establishments, enjoy in one of its 15 movie theaters and visit Dave & Buster's. With the three anchor stores Macy's, JCPenney and Sears, in addition to more than 250 stores, Plaza Las Americas has the largest variety of local stores and internationally recognized brands that exist under one roof in Puerto Rico.",525 Ave Franklin Delano Roosevelt,San Juan,918,USA,(787) 767-1525,http://www.plazalasamericas.com,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJwwVZuMFoA4wR1wTUeubh2Ds&query=18.4215524000,-66.0738383000",
13,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/720/191-3-9036_jpeg0-3536b6475056a36_3536ba3b-5056-a36a-08884317008a57d3.jpg?itok=QsPY92MY,Outlets,,North,https://www.discoverpuertorico.com/profile/puerto-rico-premium-outlets/720,Puerto Rico Premium Outlets,"Located in the town of Barceloneta, Puerto Rico Premium Outlets offers essential outlet shopping for locals and tourists alike. The only outlet destination with all your favorite fashion brands at everyday savings of up to 65% off. Enjoy shopping at your favorite stores such as Ann Taylor Factory Store, LOFT Outlet, Michael Kors Outlet, Calvin Klein, Journeys, Kipling, LACOSTE, Rojo’s Collection, Skechers, Sunglass Hut, Gap Factory, Guess Factory, Nautica, Nike Factory Store, Oakley, Perry Ellis, Polo Ralph Lauren Factory Store, Tommy Hilfiger and more...",1 Premium Outlets Blvd.,Barceloneta,617,USA,(787) 846-5300,https://www.premiumoutlets.com/outlet/puerto-rico,"https://www.google.com/maps/search/?api=1&query=18.4389421000,-66.5396251000",
14,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/776/Marina_1_AE286A48-5056-A36A-08015EE05E29152C-ae28693f5056a36_ae286ab6-5056-a36a-084c92a8e196b459.jpg?itok=Z-tLHVIw,Marinas / Yacht Clubs,,East,https://www.discoverpuertorico.com/profile/marina-puerto-del-rey/776,Marina Puerto del Rey,"Puerto del Rey is the largest and most complete Marina in the Caribbean and a natural gem to boats from all over the world. As one of two a Blue Flag Marinas in Puerto Rico, Puerto del Rey lies in a beautiful and naturally protected bay, where its massive breakwater has proved shelter to thousands of boats for over 30 years. Its Wet Slip area is composed of over 1,000 slips which accommodate boats up to 180 LOA and 15 feet of draft, accompanied by extensive storage and repair facilities with more than 650 dry stack spaces on 60 acres of land.",4900 State Rd. 3 Km. 51.4,Fajardo,738,USA,(787) 860-1000,http://puertodelrey.com/,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJtcB1E2-9BIwRAELt17n8rS4&query=18.2859442000,-65.6365852000",
15,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/781/191-3-10714_jpeg-1-_A0C3EBDE-5056-A36A-08EF299D0264954A-a0c3e9f25056a36_a0c3ec40-5056-a36a-087cdbd0813d4fee.jpg?itok=IRFrmHeR,Arts & Crafts,,Metro,https://www.discoverpuertorico.com/profile/puerto-rican-arts-crafts/781,Puerto Rican Arts & Crafts,"This location has a collection of the finest Puerto Rico arts and crafts displayed in a beautifully restored building. There are over 100 artists and artisans bring us their handmade hammocks, “santos,” jewelry and ceramics, both functional and decorative. There are famous Ponce and Loiza masks, tropical wood products, and original artwork, framed and unframed.",204 Cll. Fortaleza,San Juan,901,USA,(787) 725-5596,http://www.puertoricanart-crafts.com/,"https://www.google.com/maps/search/?api=1&query=18.4649072000,-66.1156449000",
16,https://www.discoverpuertorico.com/sites/default/files/styles/small_horizontal/public/listing_images/profile/957/Holiday-Inn-in-Ponce-1--a43baa3b5056a36_a43bab80-5056-a36a-084e5321bdd92a60.jpg?itok=XGJwo18V,"Meeting Rooms, Casinos, Accommodation On Site, Hotels",Hotels,South,https://www.discoverpuertorico.com/profile/holiday-inn-ponce-tropical-casino/957,Holiday Inn Ponce & Tropical Casino,"Stay at the Holiday Inn® Ponce & Tropical Casino Hotel and discover the beautiful city also known as ‘The Pearl of the South’. Enjoy peaceful mountainous surroundings and gorgeous views to the Caribbean Sea while being minutes from downtown Ponce. Our location off Highway 2 grants business travelers easy access to Mercedita Airport and El Tuque y Reparada Industrial Park. Also convenient for leisure guests, we are near the main attractions of the city.",3315 Ponce Bypass,Ponce,728,USA,(787) 844-1200,https://www.ihg.com/holidayinn/hotels/us/en/ponce/sjupn/hoteldetail,"https://www.google.com/maps/search/?api=1&query_place_id=ChIJeYpE7nkpHYwRzKTrobvjzko&query=17.9781610000,-66.6705090000",
